102,5CFmNamq1ceXn8RFJ9i7p6,The Very Best Of The Righteous Brothers - Unchained Melody,album,4b0WsB47XCa9F83BmwQ7WX,The Righteous Brothers,61.0,1990,spotify:album:5CFmNamq1ceXn8RFJ9i7p6
103,58n69WLzYQ48hLnGlwJNDE,The Karaoke Channel - The Best Of The Four Tops,album,5UloVKzUNJcjORzhhTWWiJ,The Karaoke Channel,0.0,2011-11-04,spotify:album:58n69WLzYQ48hLnGlwJNDE
104,,,,,,,,
105,1q1LuLo92N5cl5e0GKRq7h,The Monkees (Deluxe Edition),album,320EPCSEezHt1rtbfwH6Ck,The Monkees,44.0,1966-10-10,spotify:album:1q1LuLo92N5cl5e0GKRq7h
106,76oMr4Y2pOtcrvZLc2ZikF,If You Can Believe Your Eyes & Ears,album,1bs7HoMkSyQwcobCpE9KpN,The Mamas & The Papas,61.0,1966-03,spotify:album:76oMr4Y2pOtcrvZLc2ZikF
107,5u4oZQY6eYzH7ZpydPoUN3,Favorites,compilation,57bUPid8xztkieZfS7OlEV,The Supremes,57.0,2008-01-01,spotify:album:5u4oZQY6eYzH7ZpydPoUN3
108,33kKQOAwlGVHTDDrfAtDbS,Greatest Hits,album,3TiISqKS6ESlMQ4WFfZJw2,Johnny Rivers,34.0,1990-01-01,spotify:album:33kKQOAwlGVHTDDrfAtDbS
109,76oMr4Y2pOtcrvZLc2ZikF,If You Can Believe Your Eyes & Ears,album,1bs7HoMkSyQwcobCpE9KpN,The Mamas & The Papas,61.0,1966-03,spotify:album:76oMr4Y2pOtcrvZLc2ZikF
110,3enoBBhSA6i2pXEP8rjAWY,Hums Of The Lovin' Spoonful,album,7CCn4PFRRRZF127jtCBAUe,The Lovin' Spoonful,55.0,1966-11,spotify:album:3enoBBhSA6i2pXEP8rjAWY
111,2MEhuAU7HJA29kCBJcVcFv,The Best Of Roger Williams 20th Century Masters The Millennium Collection,album,55CCS64lPz88twUDVquU1u,Roger Williams,24.0,2004-03-09,spotify:album:2MEhuAU7HJA29kCBJcVcFv
112,62FTy4WqUxi3paBlxOhh4M,Boots,album,3IZrrNonYELubLPJmqOci2,Nancy Sinatra,60.0,1966-03,spotify:album:62FTy4WqUxi3paBlxOhh4M
113,0df3JoBq9n1DURqe8H3Qq9,20th Century Masters: The Millennium Collection: Best of Jimmy Ruffin,album,0hF0PwB04hnXfYMiZWfJzy,Jimmy Ruffin,47.0,2001-01-01,spotify:album:0df3JoBq9n1DURqe8H3Qq9
114,1kyb5tomEXcA106V57puFW,Strangers In The Night (Expanded Edition),album,1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra,54.0,1966-05,spotify:album:1kyb5tomEXcA106V57puFW
115,7vEJAtP3KgKSpOHVgwm3Eh,1 (Remastered),album,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,75.0,2000-11-13,spotify:album:7vEJAtP3KgKSpOHVgwm3Eh
116,2ZhMMZobSh6Pkkv8EK82Fp,The Young Rascals (US Release),album,5g2n2H9ndqvejERtwZ1rHh,The Rascals,42.0,1966,spotify:album:2ZhMMZobSh6Pkkv8EK82Fp
